text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Good morning, everyone.",teacher,3,0,,,0.0,صباح الخير، الجميع.,Good morning to everyone.
"Good morning, Mr. G.",student,4,0,,,,صباح الخير، سيد جي.,"Good morning, Mr. J."
"Remember, I want a few people, excuse me, a few people, a few assistants, and I know I have Student R.  Yes, good job. Yes.  Now, yesterday morning we were – let me wait for Student R – Student R, yes. Student R.  Nice.  And we don’t have Student N’s attention.  That’s good, very good, Student N.  And Student R.  And Student R. And Student K, you don’t need that Student K.  Student K, you don’t need that.  Student K, I need your attention. Yes, Student M?",teacher,87,0,,,0.0,تذكر، أريد بعض الأشخاص، عذراً لي، بعض الأشخاص، بعض المساعدين، وأعرف أن لدي طالب ر. نعم، عمل جيد. نعم. نعم. الآن، صباح أمس، دعوني أنتظر طالب ر  طالب ر، نعم. طالب ر. لطيف. ونحن لا نملك اهتمام الطالب. هذا جيد، جيد جداً، الطالب ن. و الطالب ر. و الطالب ر. و الطالب ك، أنت لا تحتاج إلى ذلك الطالب ك. الطالب ك، أنت لا تحتاج إلى ذلك. الطالب ك، أنا بحاجة إلى اهتمامك. نعم، الطالب م؟,"Remember, I need some people, excuse me, some people, some helpers, and I know that I have student R. Yes, good work. Yes. Yes. Yes. Now, yesterday morning, let me wait for student R. Student R, yes. Student R. Nice. And we don't have student interest. That's good, very good, student N. and student R. and student R. and student K, you don't need that student K. Student K, you don't need that. Student K, I need your attention."
I need to get something from [inaudible].,student,7,0,,,,أنا بحاجة للحصول على شيء من [غير مسموع].,I need to get something from [unheard of].
"Now listen, remember we were building our tower, and we did quite, quite a bit with that multiple tower, building it up.  And we have a few people that did it here, we have a few people that did it.  The other people did it over there, and we have it out there. And now we’re going to do a little bit extra, extra math.  And you should be able to do – after you build your tower, Student K, after you build your tower, you should be able to write and predict.  So after you predict, you write the multiplication.  You write the multiple.  You write the multiple of 10.",teacher,111,4,0.0,,0.0,الآن اسمع، تذكر أننا كنا نبني برجنا، ونحن فعلنا القليل جدا مع هذا البرج المتعدد، بناؤه. ونحن لدينا عدد قليل من الناس الذين فعلوا ذلك هنا، لدينا عدد قليل من الناس الذين فعلوا ذلك. الناس الآخرين فعلوا ذلك هناك، ونحن لدينا ذلك هناك. والآن سوف نقوم بفعل قليلا إضافية، الرياضيات الإضافية. ويجب أن تكون قادرة على القيام ب بعد أن تبني برجك، الطالب K، بعد أن تبني برجك، يجب أن تكون قادرة على كتابة وتنبؤ.,"Now, look, remember that we were building our tower, and we did very little with this multi-tower, building it. And we have a few people who did it here, we have a few people who did it there. Other people did it there, and we have it there. Now we're going to do a little extra, extra math. And you should be able to do B after you build your tower, student K, after you build your tower, you should be able to write and write."
Then you write the equation.,student,5,1,,,,ثم تكتب المعادلة.,Then write the equation.
"Okay, then you write the equation.  With the prior knowledge that we built the tower in, remember the 10 multiple, the 5th multiple, and different stage of the multiple.  So two building, building, build two-digit multiple tower.  Now we’re moving on from the single multiple tower, like we did 3…",teacher,50,7,1.0,,0.0,حسنا، ثم تكتب المعادلة. مع المعرفة السابقة التي بنيت البرج في، تذكر العشرة المتعددة، والعشرة المتعددة، والمرحلة المختلفة من المتعددة. لذلك بناء اثنين، بناء، بناء برج متعدد الأرقام. الآن نحن نتحرك من البرج المتعدد واحد، كما فعلنا 3...,"Well, then you write the equation. with previous knowledge of where the tower was built, remember the polynomial ten, the polynomial ten, and the different stage of the polynomial. so build two, build, build a polynomial tower. now we move from the polynomial tower, as we did 3..."
4.,student,1,0,,,,4 .,4 .
We count by…,teacher,3,0,,,0.0,نحن نحسب من خلال...,We calculate through...
We did 60.,student,3,0,,,,لقد فعلنا 60,We've made it to 60.
