text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
Are we supposed to do it?,student,6,0,,,,هل من المفترض أن نفعل ذلك؟
"Nope.  We’re going to talk about it really quick.  We have not subtracted fractions yet, right? All right, well, here’s to hoping! Okay, so we’ve been talking about adding fractions, right?  Been working on adding fractions.  What do we need to do when we add fractions?  We’re just going to do a quick review for adding.  Student B, what’s our first step that we need to do?",teacher,67,6,1.0,,0.0,لا. سوف نتحدث عن ذلك بسرعة كبيرة. نحن لم نخصم الكسور بعد، أليس كذلك؟ حسناً، حسناً، هذا هو التأمل! حسناً، إذاً كنا نتحدث عن إضافة الكسور، أليس كذلك؟ كنا نعمل على إضافة الكسور. ماذا يجب أن نفعل عند إضافة الكسور؟ سنقوم فقط بمراجعة سريعة لإضافة. الطالب ب، ما هي الخطوة الأولى التي نحتاج إلى القيام بها؟
"You write down the fractions, I mean the factors of 8 and then 4.",student,14,2,,0.0,,أنت تكتب الكسور، أعني العوامل من 8 ثم 4.
The factors or the…,teacher,4,1,1.0,,0.0,العوامل أو...
The multiplication.,student,2,1,,,,المضاعفة.
The multiples.  So what are the multiples of 8?,teacher,9,2,,,0.0,المضاعفات ما هي المضاعفات من 8؟
"8, 16 …",student,3,0,,,,8 ، 16 ...
"8, 16 …",teacher,3,0,,,0.0,8 ، 16 ...
24.,student,1,0,,,,24.
"Okay, shall we stop there?",teacher,5,0,,,0.0,حسناً، هل نتوقف هنا؟
Yes.,student,1,0,,,,-أجل، أجل
Did you do 4 yet?,teacher,5,0,,,0.0,هل فعلت 4 حتى الآن؟
"4, 8.",student,2,0,,,,أربعة، ثمانية
And what do they have in common?,teacher,7,0,,,1.0,وما المشترك بينهما؟
"8. They have 16 in common too, and 24.",student,9,0,,0.0,,8، لديهم 16 مشتركة أيضا، و 24.
"They do have 16 and 24 in common if we continued on. But you have to do the first number in 32 if we kept going, but we normally pick the first number, right? Student E, what’s our next step that we do now that we have them both circled?",teacher,50,1,1.0,,0.0,لديهم 16 و 24 مشتركة إذا استمرنا. ولكن عليك أن تفعل الرقم الأول في 32 إذا استمرنا، ولكن عادة ما نختار الرقم الأول، أليس كذلك؟ الطالب إيه، ما هي الخطوة التالية التي نقوم بها الآن بعد أن لدينا كل منهما دائرة؟
"You do how many times you did it.  So like since 8 was only once, you do times 1.",student,19,0,,0.0,,اذاً بما ان 8 كان مرة واحدة فقط فانك تقوم بمضاعفة 1
"Okay, so we have to change them so they have the same denominator, right?",teacher,14,1,0.0,,0.0,حسناً، علينا أن نغيرها حتى تكون لها نفس المعادلة، صحيح؟
"You need to do two. You do times 2 for 4, times 2 for 1.",student,15,0,,0.0,,"عليك أن تفعل اثنين. يمكنك أن تفعل مضاعفة 2 مقابل 4, مضاعفة 2 مقابل 1."
Okay.,teacher,1,0,0.0,,0.0,-حسناً
I can talk for myself.,student,5,0,,,,يمكنني التحدث بنفسي
"Student D, what are our new fractions?",teacher,7,1,0.0,,0.0,الطالب (د) ، ما هي كسورنا الجديدة؟
3 and 8.,student,3,0,,,,ثلاثة و ثمانية
"We can write it up here, 3 out of 8 plus … Okay, when we add them up, what do we get?",teacher,22,1,,,0.0,يمكننا أن نكتبها هنا، 3 من 8 زائد ... حسنا، عندما نجمعهم، ما الذي نحصل عليه؟
5 out of 8.,student,4,0,,,,خمسة من ثمانية
"All right, so we’ve been doing adding for awhile now, right? We did it on this.  We kind of started a little bit yesterday with the clocks.  We’re going to do subtracting fractions today, and then we’re going to practice both of them.  Does anyone have a guess as to how we might solve, for subtracting fractions, how might we start?  What process might we do?  Student C, do you have any thoughts of how we might do subtracting fractions?  We’ve been doing adding, how might we do subtracting?",teacher,89,7,,,1.0,حسناً، لقد قمنا بالاضافة لبعض الوقت الآن، أليس كذلك؟ فعلنا ذلك على هذا. بدأنا قليلاً بالأمس مع الساعات. سنقوم بخصم الكسور اليوم، ومن ثم سنقوم بتدريب كليهما. هل لدى أحد تخمين حول كيف يمكننا حل، عن طريق خصم الكسور، كيف يمكننا البدء؟ ما هي العملية التي يمكننا القيام بها؟
"Oh, do the same thing.",student,5,0,,,,افعل نفس الشيء
"Okay, so what would I do first?",teacher,7,0,0.0,,0.0,حسناً، ماذا سأفعل أولاً؟
Multiples of 3.,student,3,1,,,,مضاعفات من 3
We’ll do it in a different color.  So what would I start with?,teacher,13,0,,,0.0,سنقوم بذلك بألوان مختلفة، إذاً ما الذي سأبدأ به؟
3.,student,1,0,,,,3 .
3,teacher,1,0,,,0.0,3
6.,student,1,0,,,,6 .
6.,teacher,1,0,,,0.0,6 .
You need to just leave it there.,student,7,0,,,,عليك فقط أن تتركها هناك
"Okay, we can stop.  And then what?",teacher,7,0,0.0,,0.0,حسناً، يمكننا التوقف وماذا بعد ذلك؟
And the other one…,student,4,0,,,,والآخر...
6.,teacher,1,0,,,0.0,6 .
And you could just circle the…,student,6,1,,,,ويمكنك فقط أن تدور حول...
"Circle the 6’s, okay.",teacher,4,1,1.0,,0.0,حلقة 6 s، حسنا.
And then you count how many [inaudible] to come out to 6.,student,12,0,,0.0,,وبعدها تحسب عدد [غير مسموع] للخروج إلى 6.
So how many?,teacher,3,0,1.0,,1.0,إذاً كم عدد؟
2.  You put times 2.,student,5,0,,,,2. تضع ضرب 2.
So I multiply by 2.  Then what do I do here?,teacher,11,1,1.0,,0.0,إذاً أنا مضاعفة بـ2 ماذا أفعل هنا؟
"And the other one, it comes to [inaudible].",student,8,0,,0.0,,والآخر، يأتي إلى [غير مسموع].
"Okay, and then what?",teacher,4,0,0.0,,0.0,حسناً، وماذا بعد ذلك؟
You make your new…,student,4,0,,,,أنتِ تصنعين...
Fra…,teacher,1,0,,,0.0,(فرا)...
Fraction.,student,1,1,,,,الجزء.
"Fraction, right.  Okay, what’s my new fraction going to be?",teacher,10,2,,,0.0,حسناً، ما هو جزءي الجديد؟
It’s going to be 4 out of 6.,student,8,0,,0.0,,سيكون 4 من 6
4 out of 6.,teacher,4,0,1.0,,0.0,أربعة من ستة
And 1 out of 6.,student,5,0,,,,و 1 من 6
And 1 out of 6.  What am I doing?  I’m…,teacher,10,0,1.0,,0.0,و 1 من 6 ماذا أفعل؟
Adding.,multiple students,1,0,,,,إضافة
"Adding the top numbers. Take away, it’s subtracting.",student,8,1,,0.0,,إضافة الأرقام العليا. إزالة، هو سحب.
"I’m subtracting, right?",teacher,3,1,1.0,,0.0,أنا أسحب، أليس كذلك؟
So it’s 3/6.,student,3,0,,,,اذاً هو 3/6.
"So it’s 3 out of 6.  Is that our lowest form, or can we find an equivalent for that?",teacher,19,1,,,0.0,إذاً فهو 3 من 6، هل هذا هو أدنى شكل لدينا، أو يمكننا العثور على ما يعادله لذلك؟
One-half.,student,1,0,,,,ونصف.
"One-half, because three is half of six.  Okay, I’m going to put one up here, a subtraction one, that you’re going to do in your notebook, and then we’ll go over it.  Actually I’ll put two up and then I’ll call two of you to come do the work up here before we go on our own, okay?",teacher,58,1,,,0.0,نصف، لأن ثلاثة هو نصف ستة. حسناً، سأضع واحد هنا، واحد خصم، الذي ستقوم به في دفتر الملاحظات الخاصة بك، ومن ثم سنقوم بمراجعته. في الواقع سأضع اثنين فوق ثم سأتصل ب اثنين منكم للقيام بالعمل هنا قبل أن نذهب بمفردنا، حسناً؟
How do you get a recording acting like that? [In reference to kids in nearby classroom yelling and screaming.],student,19,0,,0.0,,كيف يمكنك الحصول على تسجيل يتصرف مثل هذا؟
"How did they get a recording acting like that?  Well, I don't know.  Everyone’s different, sweetie. All right, here we go.  So copy these two down in your notebook, please.  So you should have your notebook open, the date, and you’re copying these down. What do we need to do though?  This is 50 percent.",teacher,55,1,1.0,,0.0,كيف حصلوا على تسجيل يتصرفون هكذا؟ حسناً، لا أعرف. الجميع مختلفين، عزيزتي. حسناً، ها نحن ذا. لذا نسخ هذان الاثنان في دفتر الملاحظات الخاص بك، من فضلك. لذلك يجب أن يكون دفتر الملاحظات الخاص بك مفتوحاً، والتواريخ، وأنت نسخ هذه. ماذا يجب علينا أن نفعل؟ هذا هو 50 في المئة.
Take it away. It’s one and a half.,student,8,0,,0.0,,خذها، إنها ساعة ونصف
"Sssh, please don’t yell out.  Please do the work in your notebook.",teacher,12,0,0.0,,0.0,ارجوك لا تصرخ، ارجوك قم بالعمل في دفتر الملاحظات
