text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic,session_id
"Okay.  Math should be out.  Everything else, please put away. I need Student E, Student H over here.  Student B, on the floor.  You can have your math packets.  And I need Student J over here and Student O over here.  [Inaudible.] All right.    [Inaudible] no glasses.  Student D, I need you to completely turn around a little since you’re not used to sitting there like that, in that seat.  Okay. Let’s turn to page 53.  Today we’re going to work on seeing what happens, determine the effect.  See what happens to the product when a factor is doubled or it’s halved.  We’re going to talk some more about that like we did last week. And we’re going to develop more strategies for multiplying that involves breaking numbers [inaudible].  When we do that, of course we’re always going to be looking at demonstrating, explaining your strategies for when you’re multiplying or dividing.  Okay.  So math, page 53.  We have this problem on that page.  16 times 3 and 16 times 6. Let’s take a look at that one again.  That was which one on page 53 is that?",teacher,188,3,,,0.0,حسناً. الرياضيات يجب أن تكون خارجة. كل شيء آخر، من فضلك ضعها بعيداً. أريد الطالب E، الطالب H هنا. الطالب B، على الأرض. يمكنك الحصول على حزم الرياضيات الخاصة بك. وأريد الطالب J هنا و الطالب O هنا. [غير مسموعة.] حسناً. [غير مسموعة] بدون نظارات. الطالب D، أريد منك أن تتحول تماماً قليلاً بما أنك لم تكن معتادًا على الجلوس هكذا في هذا المقعد. حسناً. دعونا ننتقل إلى الصفحة 53. اليوم سنعمل على رؤية ما يحدث، تحديد التأثير. انظر ما يحدث للمنتج عندما يضاعف العامل أو يتم تقليمه إلى النصف. سوف نتحدث أكثر عن ذلك مثلما فعلنا الأسبوع الماضي. وسنبحث عن المزيد من الاستراتيجيات للضرب التي تنطوي على كسر الأرقام [غير مسموعة]. لذلك عندما نقوم بتطوير هذا بالطبع، سنبحث مرة أخرى عن مضاعفة، ونحن نمثل هذه الاستراتيجيات في الصفحة 53.,حسنا. الرياضيات يجب ان تكون خارجه. كل شيء اخر، من فضلك ضعها بعيدا. اريد الطالب E، الطالب H هنا. الطالب B، علي الارض. يمكنك الحصول علي حزم الرياضيات الخاصه بك. واريد الطالب J هنا و الطالب O هنا. [غير مسموعه.] حسنا. [غير مسموعه] بدون نظارات. الطالب D، اريد منك ان تتحول تماما قليلا بما انك لم تكن معتادا علي الجلوس هكذا في هذا المقعد. حسنا. دعونا ننتقل الي الصفحه 53. اليوم سنعمل علي رؤيه ما يحدث، تحديد التاثير. انظر ما يحدث للمنتج عندما يضاعف العامل او يتم تقليمه الي النصف. سوف نتحدث اكثر عن ذلك مثلما فعلنا الاسبوع الماضي. وسنبحث عن المزيد من الاستراتيجيات للضرب التي تنطوي علي كسر الارقام [غير مسموعه]. لذلك عندما نقوم بتطوير هذا بالطبع، سنبحث مره اخري عن مضاعفه، ونحن نمثل هذه الاستراتيجيات في الصفحه 53.,125,0.0076923076923076,True,3
C.,student,1,0,,,,(ج),(ج),1,0.0,False,3
C?  Okay.  How are they related to each other?  How are the problems related and how are the two answers related? Student M?,teacher,23,0,,,1.0,ك؟ حسنا. كيف ترتبط ببعضها البعض؟ كيف ترتبط المشاكل وكيف ترتبط الإجابات؟ الطالب M؟,ك؟ حسنا. كيف ترتبط ببعضها البعض؟ كيف ترتبط المشاكل وكيف ترتبط الاجابات؟ الطالب M؟,14,0.0,False,3
"Because 16 times 3 and 16 times 6, they both involve 16.",student,12,0,,1.0,,لأن 16 × 3 و 16 × 6 كل منهما يتضمن 16,لان 16 × 3 و 16 × 6 كل منهما يتضمن 16,5,0.0,False,3
"They both have one factor of 16.  Okay.  What else?  How else are they related, Student C?",teacher,17,0,1.0,,1.0,كلاهما لديه عامل واحد من 16، حسناً، ماذا أيضاً؟,كلاهما لديه عامل واحد من 16، حسنا، ماذا ايضا؟,9,0.1111111111111111,True,3
"Because 16 stays the same but your actually getting the answer to – if you look at the second one and if you know it, you can just like cut it in half and then you have the answer for the first one.",student,43,0,,1.0,,لأن 16 يبقى نفسه ولكنك تحصل في الواقع على الإجابة على  إذا نظرت إلى الثانية وإذا كنت تعرف ذلك، يمكنك فقط مثل قطعها إلى النصف ثم لديك الإجابة على الأول.,لان 16 يبقي نفسه ولكنك تحصل في الواقع علي الاجابه علي اذا نظرت الي الثانيه واذا كنت تعرف ذلك، يمكنك فقط مثل قطعها الي النصف ثم لديك الاجابه علي الاول.,29,0.0,False,3
"Okay.  So looking at the second problem, the equation, if you know that, you cut it in half – why can you do that?  So you’re looking at the answer here, is half of the answer to the second one?",teacher,40,1,1.0,,1.0,حسناً، إذاً بالنظر إلى المشكلة الثانية، المعادلة، إذا كنت تعرف ذلك، يمكنك قطعها إلى النصف  لماذا يمكنك القيام بذلك؟,حسنا، اذا بالنظر الي المشكله الثانيه، المعادله، اذا كنت تعرف ذلك، يمكنك قطعها الي النصف لماذا يمكنك القيام بذلك؟,19,0.0,False,3
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,3
How come?,teacher,2,0,,,0.0,كيف حدث ذلك؟,كيف حدث ذلك؟,3,0.0,False,3
"Because 3 is half of 6, and then 16 is just like 16.",student,13,0,,1.0,,لأن 3 هو نصف 6، ثم 16 هو مثل 16.,لان 3 هو نصف 6، ثم 16 هو مثل 16.,7,0.1,True,3
"Okay.  So 16 stays the same, like Student M says.  3 is half of 6, so you’re saying the answer to this one is half of the answer to the second one.",teacher,32,0,1.0,,0.0,حسنا، 16 يبقى نفسه، كما يقول الطالب M. 3 هو نصف 6، لذلك أنت تقول أن الإجابة على هذا هو نصف الإجابة على الثاني.,حسنا، 16 يبقي نفسه، كما يقول الطالب M. 3 هو نصف 6، لذلك انت تقول ان الاجابه علي هذا هو نصف الاجابه علي الثاني.,21,0.0833333333333333,True,3
Yeah.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False,3
"Okay.  Does anybody have any story context that we can use to explain that, why the answer to one is half of the answer to another one, or any other thing to say about that? Student M?",teacher,37,0,,,1.0,حسناً، هل لدى أي شخص أي سياق قصة يمكننا استخدامه لشرح ذلك، لماذا الجواب على واحد هو نصف الجواب على آخر، أو أي شيء آخر يمكن قوله حول ذلك؟ الطالب M؟,حسنا، هل لدي اي شخص اي سياق قصه يمكننا استخدامه لشرح ذلك، لماذا الجواب علي واحد هو نصف الجواب علي اخر، او اي شيء اخر يمكن قوله حول ذلك؟ الطالب M؟,31,0.032258064516129,True,3
16 rows of [inaudible].,student,4,0,,,,16 صف من [غير مستمع].,16 صف من [غير مستمع].,4,0.0,False,3
16 what?  I didn’t hear you.,teacher,6,0,,,0.0,لم أسمعك,لم اسمعك,2,0.0,False,3
16 rolls.,student,2,0,,,,16 حلقة.,16 حلقه.,1,0.0,False,3
16 rolls?  Rolls?,teacher,3,0,,,1.0,16 حلقة؟,16 حلقه؟,1,0.0,False,3
Rows.,student,1,0,,,,الصفوف.,الصفوف.,1,0.0,False,3
Rows.  16 rows of something.  What?  Chocolates?  Chocolate bars?  Okay.  16 rows of chocolate bars and what?,teacher,17,0,,,0.0,صفوف، 16 صفوف من شيء ما، ماذا؟ شيكولاته، شريط الشوكولاته؟ حسناً، 16 صفوف شريط الشوكولاته وماذا؟,صفوف، 16 صفوف من شيء ما، ماذا؟ شيكولاته، شريط الشوكولاته؟ حسنا، 16 صفوف شريط الشوكولاته وماذا؟,14,0.0,False,3
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False,3
3 chocolate bars in each row.  Okay.  Did anybody use any other story context when they solved this problem on page 53?  So what is 16 times 3?  What did you come up with for that? What?,teacher,37,0,,,1.0,3 شريطات الشوكولاتة في كل سطر. حسناً. هل استخدم أي شخص أي سياق قصة آخر عندما حلوا هذه المشكلة على الصفحة 53؟ إذن ما هو 16 × 3؟ ما الذي توصلت إليه؟ ماذا؟,3 شريطات الشوكولاته في كل سطر. حسنا. هل استخدم اي شخص اي سياق قصه اخر عندما حلوا هذه المشكله علي الصفحه 53؟ اذن ما هو 16 × 3؟ ما الذي توصلت اليه؟ ماذا؟,30,0.0,False,3
48.,student,1,0,,,,48.,48.,0,0.0,False,3
"48.  So if we’re talking about rows and chocolate bars, we’re talking about 48 chocolate bars.  Okay.  How did you get that, 16 times 3?  Anybody have a strategy for that? Student E?",teacher,33,0,,,1.0,إذاً إذا كنا نتحدث عن الصفوف والشوكولاتة، فنحن نتحدث عن 48 شوكولاتة. حسناً. كيف حصلت على ذلك، 16 ضرب 3؟ هل لدى أي شخص استراتيجية لذلك؟ الطالب إيه؟,اذا اذا كنا نتحدث عن الصفوف والشوكولاته، فنحن نتحدث عن 48 شوكولاته. حسنا. كيف حصلت علي ذلك، 16 ضرب 3؟ هل لدي اي شخص استراتيجيه لذلك؟ الطالب ايه؟,26,0.0357142857142857,True,3
16 times 2.,student,3,0,,,,16 × 2,16 × 2,0,0.0,False,3
16 times 2 is –?,teacher,5,0,,,0.0,16 × 2 هو ؟,16 × 2 هو ؟,2,0.0,False,3
32?,student,1,0,,,,32؟,32؟,1,0.0,False,3
"32.  So if you can double one, then what?",teacher,9,0,,,0.0,إذاً إذا استطعت مضاعفة واحدة، ماذا بعد ذلك؟,اذا اذا استطعت مضاعفه واحده، ماذا بعد ذلك؟,8,0.0,False,3
Then you just add 16.,student,5,1,,,,ثم فقط تضيف 16,ثم فقط تضيف 16,3,0.0,False,3
