text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
Okay.  Let’s begin.  Objective reader.  Who’s my objective reader?  Student E?  Go ahead and read the math objectives for today.,teacher,20,0,,,0.0,حسناً، دعونا نبدأ. القارئ المستهدف. من هو القارئ المستهدف؟ الطالب إيه؟ إذهب وقرأ أهداف الرياضيات اليوم.,حسنا، دعونا نبدا. القارئ المستهدف. من هو القارئ المستهدف؟ الطالب ايه؟ اذهب وقرا اهداف الرياضيات اليوم.,16,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Okay, now, use a voice in which we can all hear you.  So go back and read it again using a big boy voice.",teacher,24,0,,,0.0,حسناً، الآن، استخدم صوتاً يمكننا سماعك جميعاً، لذا عد وأقرأه مرة أخرى باستخدام صوت صبي كبير.,حسنا، الان، استخدم صوتا يمكننا سماعك جميعا، لذا عد واقراه مره اخري باستخدام صوت صبي كبير.,16,0.0,False
Students will be able to find the simplest form of fractions. Students will be able to explain their solutions to a partner.,student,22,2,,0.0,,سيتمكن الطلاب من العثور على أبسط شكل من أشكال الكسور. سيتمكن الطلاب من شرح حلولهم إلى شريك.,سيتمكن الطلاب من العثور علي ابسط شكل من اشكال الكسور. سيتمكن الطلاب من شرح حلولهم الي شريك.,17,0.0,False
Much better.  Okay.  I’m going to put a fraction on the board. I want you to put that fraction in its simplest form. [Whispering in Spanish],teacher,26,2,1.0,,0.0,أفضل بكثير. حسناً، سأضع جزءاً على اللوحة. أريدك أن تضع هذا الجزء في أبسط شكله.,افضل بكثير. حسنا، ساضع جزءا علي اللوحه. اريدك ان تضع هذا الجزء في ابسط شكله.,15,0.0,False
Forty.  Forty.  [Inaudible],student,3,0,,,,أربعين، أربعين.,اربعين، اربعين.,2,0.0,False
"When you have figured it out, raise your hand.  And I want you to share how you figured out how to get the simplest form of a fraction.  You’re making it bigger.  Is that what simple means?  What does simple mean?  To make it bigger or smaller?",teacher,47,1,,,1.0,عندما تكتشف ذلك، ارفع يديك. وأريدك أن تشارك كيف اكتشفت كيفية الحصول على أبسط شكل من الكسور. أنت تجعلها أكبر. هل هذا ما يعني بسيط؟ ماذا يعني بسيط؟ تجعله أكبر أو أصغر؟,عندما تكتشف ذلك، ارفع يديك. واريدك ان تشارك كيف اكتشفت كيفيه الحصول علي ابسط شكل من الكسور. انت تجعلها اكبر. هل هذا ما يعني بسيط؟ ماذا يعني بسيط؟ تجعله اكبر او اصغر؟,32,0.0,False
Smaller.,student,1,0,,,,أصغر,اصغر,1,0.0,False
"Okay.   Student L, how did you get the simplest fraction?",teacher,10,1,,,1.0,حسناً، الطالب (إل) ، كيف حصلت على أبسط جزء؟,حسنا، الطالب (ال) ، كيف حصلت علي ابسط جزء؟,9,0.0,False
Ten goes into eighty eight times and then ten goes into 200 twenty times.,student,14,0,,0.0,,عشرة تذهب إلى ثمانين وثمانين مرة ثم عشرة تذهب إلى مائة وعشرين مرة.,عشره تذهب الي ثمانين وثمانين مره ثم عشره تذهب الي مائه وعشرين مره.,13,0.23076923076923078,True
So then what ended up being your fraction?,teacher,8,1,0.0,,0.0,إذاً ما الذي أصبح جزءك؟,اذا ما الذي اصبح جزءك؟,5,0.0,False
[Eight.],student,1,0,,,,[ثمانية.],[ثمانيه.],1,0.0,False
So that’s one possible answer.  What’s another answer?  Student M?,teacher,10,0,,,0.0,إذاً هذا واحد من الإجابات المحتملة. ما هو الإجابة الأخرى؟ الطالب M؟,اذا هذا واحد من الاجابات المحتمله. ما هو الاجابه الاخري؟ الطالب M؟,12,0.0,False
[Inaudible] goes into 20 [Inaudible] eight two times.,student,8,0,,0.0,,[لا يسمع] يذهب إلى 20 [لا يسمع] ثمانية مرتين.,[لا يسمع] يذهب الي 20 [لا يسمع] ثمانيه مرتين.,8,0.1111111111111111,True
So breaking this down by four?  So what’s your fraction?,teacher,10,1,0.0,,0.0,إذاً إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، ما هو الجزء الخاص بك؟,اذا اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، ما هو الجزء الخاص بك؟,94,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Anybody else have anything that they did?  Wander?  Share with the class.  You raised your hand.,teacher,16,0,,,1.0,أي شخص آخر لديه أي شيء قام به؟ أرحل؟ شارك مع الفصل.,اي شخص اخر لديه اي شيء قام به؟ ارحل؟ شارك مع الفصل.,12,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Sh!,teacher,1,0,,,0.0,اللعنة!,اللعنه!,1,0.0,False
I bring [Inaudible] into [Inaudible] and 200 into 2 and [Inaudible] four [Inaudible] two one [Inaudible] 20 over 50.  And I break that into two again ten over 25.,student,29,0,,0.0,,أحضر [الجهاز غير السمعي] إلى [الجهاز غير السمعي] و200 إلى 2 و [الجهاز غير السمعي] أربعة [الجهاز غير السمعي] اثنان واحد [الجهاز غير السمعي] 20 على 50.,احضر [الجهاز غير السمعي] الي [الجهاز غير السمعي] و200 الي 2 و [الجهاز غير السمعي] اربعه [الجهاز غير السمعي] اثنان واحد [الجهاز غير السمعي] 20 علي 50.,24,0.07407407407407407,True
"So, it took you a long time to do that, no?",teacher,11,0,0.0,,0.0,إذاً، لقد استغرق الأمر وقتاً طويلاً للقيام بذلك، صحيح؟,اذا، لقد استغرق الامر وقتا طويلا للقيام بذلك، صحيح؟,9,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"That’s the problem.  Some of us know how to find a simpler fraction but we don’t know how to find the simplest fraction.  So, if you think that the simplest fraction is eight twentieths, raise your hand.   If you think the simplest fraction is two fifths, raise your hand.  If you think the simplest fraction is ten over 25, raise your hand.  Okay.  Lights, camera and action.",teacher,67,5,,,0.0,هذه هي المشكلة. بعضنا يعرف كيفية العثور على جزء بسيط ولكننا لا نعرف كيفية العثور على الجزء الأبسط. لذلك، إذا كنت تعتقد أن الجزء الأبسط هو ثمانية عشرينات، رفع يدك. إذا كنت تعتقد أن الجزء الأبسط هو اثنين من الخامسة، رفع يدك. إذا كنت تعتقد أن الجزء الأبسط هو عشرة على 25، رفع يدك. حسنا. الأضواء، الكاميرا والعمل.,هذه هي المشكله. بعضنا يعرف كيفيه العثور علي جزء بسيط ولكننا لا نعرف كيفيه العثور علي الجزء الابسط. لذلك، اذا كنت تعتقد ان الجزء الابسط هو ثمانيه عشرينات، رفع يدك. اذا كنت تعتقد ان الجزء الابسط هو اثنين من الخامسه، رفع يدك. اذا كنت تعتقد ان الجزء الابسط هو عشره علي 25، رفع يدك. حسنا. الاضواء، الكاميرا والعمل.,58,0.034482758620689655,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"I know I did not hear people speaking, especially when my back is turned. Okay.  So this is what we have to do when we have to find the simplest fractions.  What we do is we look at the factors of the numerator and the denominator.  What’s factors again?  I totally forgot what factors means.  What does it mean to find a factor of a number?  Student A?",teacher,68,6,,,1.0,أنا أعرف أنني لم أسمع الناس يتحدثون، وخاصة عندما تكون ظهري مُحوَّل. حسناً. لذلك هذا ما علينا القيام به عندما نحتاج للعثور على أبسط الكسور. ما نفعله هو النظر إلى عوامل العداد والاسم. ما هي العوامل مرة أخرى؟ نسيت تماماً ما تعنيه العوامل. ماذا يعني العثور على عامل من عدد؟ الطالب A؟,انا اعرف انني لم اسمع الناس يتحدثون، وخاصه عندما تكون ظهري محول. حسنا. لذلك هذا ما علينا القيام به عندما نحتاج للعثور علي ابسط الكسور. ما نفعله هو النظر الي عوامل العداد والاسم. ما هي العوامل مره اخري؟ نسيت تماما ما تعنيه العوامل. ماذا يعني العثور علي عامل من عدد؟ الطالب A؟,52,0.038461538461538464,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
To find a number that multiplies?,teacher,6,1,,,0.0,للعثور على رقم يضاعف؟,للعثور علي رقم يضاعف؟,4,0.0,False
Factor is a number that you can replace [Inaudible].,student,9,0,,0.0,,الفاكتور هو رقم يمكنك استبداله,الفاكتور هو رقم يمكنك استبداله,5,0.0,False
Okay.  Another explanation?  Student M?,teacher,5,0,0.0,,1.0,حسناً، تفسير آخر، الطالب (م) ؟,حسنا، تفسير اخر، الطالب (م) ؟,6,0.0,False
A number that goes into another number evenly?,student,8,0,,0.0,,رقم يذهب إلى رقم آخر بالتساوي؟,رقم يذهب الي رقم اخر بالتساوي؟,6,0.0,False
"Excellent.  A number that goes into another number evenly.  For example, what you said Student A.  I knew exactly what you were talking about but those are better words.  It makes it simpler to understand, okay? So let’s do the factors of the numerator for letter A.  What are the factors for the numerator of letter A?  What are the factors of two?  What numbers go into two evenly?  Student J?",teacher,71,5,1.0,,0.0,ممتاز. رقم يذهب إلى رقم آخر بالتساوي. على سبيل المثال، ما قلته الطالب A. كنت أعرف بالضبط ما كنت تتحدث عنه ولكن هذه كلمات أفضل. يجعل من الأسهل أن نفهم، حسنا؟ لذلك دعونا نقوم  العوامل من العداد للحرف A. ما هي العوامل من العداد للحرف A؟ ما هي العوامل من اثنين؟ ما هي العوامل التي تذهب إلى اثنين بالتساوي؟ الطالب J؟,ممتاز. رقم يذهب الي رقم اخر بالتساوي. علي سبيل المثال، ما قلته الطالب A. كنت اعرف بالضبط ما كنت تتحدث عنه ولكن هذه كلمات افضل. يجعل من الاسهل ان نفهم، حسنا؟ لذلك دعونا نقوم العوامل من العداد للحرف A. ما هي العوامل من العداد للحرف A؟ ما هي العوامل من اثنين؟ ما هي العوامل التي تذهب الي اثنين بالتساوي؟ الطالب J؟,59,0.0,False
One.,student,1,0,,,,واحد.,واحد.,1,0.0,False
One and?,teacher,2,0,,,0.0,واحد و؟,واحد و؟,2,0.0,False
[Inaudible] Two?,student,2,0,,,,اثنان؟,اثنان؟,1,0.0,False
"One and two, good.  What are the factors of eight?  What are the factors of eight?  Student J?",teacher,18,2,,,0.0,واحد و اثنان، جيد. ما هي عوامل الثمانية؟ ما هي عوامل الثمانية؟ الطالب J؟,واحد و اثنان، جيد. ما هي عوامل الثمانيه؟ ما هي عوامل الثمانيه؟ الطالب J؟,14,0.14285714285714285,True
"Two, four and eight.",student,4,0,,,,اثنان، أربعة وثمانية.,اثنان، اربعه وثمانيه.,3,0.3333333333333333,True
Are you missing one?,teacher,4,0,,,0.0,هل تفتقدين واحدة؟,هل تفتقدين واحده؟,3,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"You’re missing the obvious one.  Student W, what’s the factor she’s missing?",teacher,12,0,,,0.0,تلميذ (و) ، ما هو العامل الذي تفتقده؟,تلميذ (و) ، ما هو العامل الذي تفتقده؟,8,0.0,False
One.,student,1,0,,,,واحد.,واحد.,1,0.0,False
One.  I didn’t hear you.,teacher,5,0,,,0.0,واحد، لم أسمعك,واحد، لم اسمعك,3,0.0,False
I said one.  [Inaudible],student,4,0,,,,قلت واحداً,قلت واحدا,2,0.0,False
